약어,풀이,삼성닷컴/CNX,예시
AA,Adobe Analytics,삼성닷컴,
AAP,Aggregated Advaced Privacy,AppsFlyer,"AAP는 유저의 ATT 팝업 옵트인-아웃에 따라 유저레벨 데이터의 사용을 제한하는 것으로, 이 옵션이 켜져있을 경우 유저가 샵에 ATT 옵트인을 한 경우에만 유저레벨 데이터 사용이 가능합니다.
앱스플라이어가 어도비에 전달하는 데이터는 유저레벨 데이터로, 안드로이드에서는 이와 같은 제약이 없으나 iOS에서는 어도비로 전달하는 포스트백이 AAP의 제약을 받습니다.
"
ACT,Analytics with Creative Thinking,CNX,
AEM,Adobe Experience Manager,삼성닷컴,
ATC,Add To Cart (cart add/ sc add),삼성닷컴,
ATT,App Tracking Transparency,삼성닷컴,Apple's opt-in privacy framework that requires all iOS apps to ask users for permission to share their data.
B2B,Business to Business,삼성닷컴,
B2C,Business-to-Consumer,삼성닷컴,
BC,Buying Configurator,삼성닷컴/CNX,Buy page에서 일어난 특정 트래픽 데이터 추출을 요청하는 뜻으로 'BC' 라고 칭하는 고객의 경우 참고 바람
BIS,Business Insight powered by Science-technology,CNX,
BKC,Bandra Kurla Complex ,삼성닷컴,"Retail 대시보드 프로젝트 일부로 3개의 Pilot 국가 중, 인도 뭄바이에 위치한 삼성 오프라인 스토어 (In-Store)에 상주 건물 이름. BKC는 Commercial hub로 business/apartment complex가 합쳐져 있다고 함"
BOPIS,Buy Online Pickup In Store ,삼성닷컴,
BP,Best Practice,삼성닷컴,
BQ,Big Query ,삼성닷컴,
BRD,Business Requirements Document,삼성닷컴,
CA,"Customer Analytics ""CA그륩"" ",삼성닷컴,
CDA,Cross Device Analysis,삼성닷컴/Adobe,
CE,,삼성닷컴,
CEJ,Customer Experience Journey,삼성닷컴,
CIP,Concentrix Incentive plan,CNX,회계연도 동안 회사의 성과와 개인의 성과에 따라 자격*을 갖춘 직원에게 매년 동기를 부여하고 보상하기 위해 고안된 재량 인센티브 프로그램 (1월 지급)
CL,Career Level,CNX,
CLV,Customer Lifetime Value,삼성닷컴,
CMP,"Consent Management Platform, 고객동의 관리 플랫폼",삼성닷컴,EU의 GDPR/ BR의 LGPD/ California CCPA과 같은 데이터 보호법 및 규정에 따라 개인 정보 및 동의를 수집하고 관리하는 데 도움을 주는 소프트웨어 솔루션
