Variable,Diemsion Name,Frequently Used,Paired Event,Description,Example,Notes,DataFeed
Prop,Prop,,,"A prop is a traffic variable used to track user behavior on a hit-level basis. It captures values that are tied to a specific interaction (such as a page load or click) and does not persist beyond that individual hit.

Unlike eVars, props are non-persistent and are not used for conversion attribution. Instead, they are ideal for understanding real-time behavior, page-level insights, or site structure analysis—such as identifying the page name, site section, or interaction at the exact moment it occurred.",-,"Props have a 100-byte limit in reports. 
Adobe supports only 75 props.

*Key Characteristics:
- Non-persistent 
- Not linked to eVar
- Useful for pathing, page flow, and immediate user interactions",
prop1,Site Code (p1),Yes,Page Views,"Site Code (p1) collects the first-depth Site Code information every time a page is loaded. This Site Code represents the primary categorization of the webpage, helping to identify which website the user is visiting.

Since both Web and App data, as well as B2C and B2B data, are being ingested into a single Report Suite, this dimension serves as a key reference for distinguishing data by platform and business type.","prop1=""uk""
prop1=""uk-app""
prop1=""uk-smb""
prop1=""uk-smb-app""
prop1=""uk-epp""
prop1=""uk-epp-app""","SMB: Pages with the URL pattern shop.samsung.com/uk/business/.

EPP: Pages with URLs like www.samsung.com/uk/multistore/ or shop.samsung.com/uk/multistore/.

The rest of pages including samsung.com/uk and samsung.com/uk/business are classified as B2C data and will be displayed under the 'uk' site code.",Post_prop1
prop2,Site Top Navigation (p2),No,Page Views,"Site Top Navigation (p2) collects the second-level site section, typically representing the top-level category of the website (e.g., Mobile, TV, Home Appliances). This value is captured each time a page is loaded and is used to identify the major content area that the user is browsing.
It is an essential dimension for understanding which high-level product category or service area the user is engaging with.
*This variable is not generated for native app pages without URLs.","prop2=""uk:home""
prop2=""uk:mobile""
prop2=""uk:television""
prop2=""uk:shop""
prop2=""uk:mypage""","Based on Product IA; There are exceptional cases which the page depth is collected based on URL instead of Product IA.
(eg. Non-flagship product pages that are not published as Standard PD)
These hierarchical navigation variables allow analysts to trace the full user journey from top-level categories down to individual product pages. ",Post_prop2
prop3,Third Level Site Section (p3),No,Page Views,"Third Level Site Section (p3) collects the third-level site section, indicating a sub-category under the top-level category. It provides a more detailed view of the user's navigation path, offering context on which sub-category the user is exploring within a specific business domain.
*This variable is not generated for native app pages without URLs.","prop3=""uk:mobile:smartphones""
prop3=""uk:mobile:watches""
prop3=""uk:mobile:mobile accessories""
prop3=""uk:television:tvs""
prop3=""uk:shop:cart""","Based on Product IA; There are exceptional cases which the page depth is collected based on URL instead of Product IA.
(eg. Non-flagship product pages that are not published as Standard PD)
These hierarchical navigation variables allow analysts to trace the full user journey from top-level categories down to individual product pages. ",Post_prop3
prop4,Fourth Level Site Section (p4),No,Page Views,"Fourth Level Site Section (p4) collects the fourth-level site section, typically reflecting a specific product line, series, or brand within a sub-category. 
*This variable is not generated for native app pages without URLs.","prop4=""uk:mobile:smartphones:galaxy s""
prop4=""uk:mobile:watches:finder""
prop4=""uk:mobile:watches:galaxy fit""
prop4=""uk:television:tvs:uhd 4k tv""
prop4=""uk:display:monitors:gaming""","Based on Product IA; There are exceptional cases which the page depth is collected based on URL instead of Product IA.
(eg. Non-flagship product pages that are not published as Standard PD )
These hierarchical navigation variables allow analysts to trace the full user journey from top-level categories down to individual product pages. ",Post_prop4
prop5,Fifth Level Site Section (p5),No,Page Views,"Fifth Level Site Section (p5)  collects the fifth-level site section, representing the most detailed layer in the navigation hierarchy. It is primarily used for tracking specific product variants, content modules, or detailed subcategories.
*This variable is not generated for native app pages without URLs.","prop5=""uk:mobile:smartphones:galaxy s:galaxy-s25""
prop5=""uk:mobile:smartphones:galaxy s:galaxy-s25-ultra""
prop5=""uk:mobile:watches:galaxy watch:galaxy-watch7""
prop5=""uk:mobile:rings:galaxy ring:galaxy-ring""
prop5=""uk:computers:computers:galaxy book:galaxy-book5-pro""","Based on Product IA; There are exceptional cases which the page depth is collected based on URL instead of Product IA.
(eg. Non-flagship product pages that are not published as Standard PD)
These hierarchical navigation variables allow analysts to trace the full user journey from top-level categories down to individual product pages. ",Post_prop5
prop6,All Page Track (p6),Yes,Page Views,"All Page Track (p6) categorizes each page into a specific page type, such as Home, Product Detail, Cart, etc. This classification enables analysts to segment traffic by the type of page being viewed.","prop6=""home""
prop6=""product family showcase""
prop6=""product detail""
prop6=""flagship pdp""
prop6=""shop cart""","To analyze Product Detail Page (PDP) traffic and performance using All Page Track, your segment should include all relevant PDP types such as ""product detail"", ""flagship pdp"", and ""buying configurator"".",Post_prop6
prop7,GNB Tracking (p7),Yes,Occurrences,"GNB Tracking (p7) captures user interactions with elements within the Global Navigation Bar (GNB). This includes clicks on top-level and nested menu items, the site logo, search icons, and any promotional banners embedded in the GNB.
This data helps analyze user navigation behavior and engagement with key entry points on the website.This variable helps analysts understand how users engage with the main site navigation and which categories or promotions are most frequently accessed.                                                                                                                                          ","prop7=""logo""
prop7=""search""
prop7=""mobile""
prop7=""mobile:smartphones""
prop7=“feature image:mobile:galaxy s25 ultra”",,Post_prop7
prop8,Product Category (p8),No,Page views,"Product Category (p8) classifies each product-related page into a high-level product category, such as Mobile, TV, or Home Appliances. The value is determined based on the second-level depth of the page name at the time the page is loaded.","prop8=""mobile""
prop8=""tv""
prop8=""home appliances""
prop8=""it""
prop8=""memory and storage""","While similar to PVI Product Type (v11)—which is collected only on Product Detail (PD) pages based on PVI categorization—Product Category (p8) offers broader coverage, applying across various product-related pages throughout the site.
*Not used in Shop pages.",Post_prop8
prop9,disabled,-,-,-,-,-,-
prop10,Is Logged In (p10),Yes,Page views,"Is Logged In (p10) captures the login status of the user each time a page is loaded on Samsung.com. This variable stores a binary value (e.g., “Logged In” or “Logged Out”) .

Tracking login status enables analysis of user behavior across the site. It allows analysts to compare the browsing patterns, engagement levels, and conversion rates between logged-in and logged-out users. Additionally, this dimension is critical for understanding the effectiveness of personalization efforts, gated content access, and features that require user authentication—such as wishlists, order tracking, or loyalty benefits.","prop10=""logged out""
prop10=""logged in""","This variable is only applicable in countries where login is managed through Samsung Account. Typically used in segmentation to compare logged-in user activity against logged-out user activity. Can be paired with other engagement metrics (e.g., purchases, wishlist additions) to analyze the impact of login status on user behavior.",Post_prop10
