#,Rollout,Sub,Country,Store Type,Store Name,Commerce Platform / (Hybris Y/N),Go-live (App Store release) / AOS,Go-live (App Store release) / iOS,Remark
1,-,SIEL,India,B2C,in,N (GPv2),-,-,
2,-,SIEL,India,Internal EPP,Samsung Employee,N (GPv2),-,-,https://www.samsung.com/in/multistore/1001/
3,-,SIEL,India,Corporate EPP,Corporate,N (GPv2),-,-,https://www.samsung.com/in/multistore/corporate/
4,-,SIEL,India,Student EPP,Student Purchase Program,N (GPv2),-,-,https://www.samsung.com/in/multistore/campus/
5,Pilot,SEUK,UK,B2C,uk,Y,2022. 9. 28 ,2023. 11. 21 ,Soft launch for SEUK employees: 2022. 7. 28 
6,Pilot,SEUK,UK,Student EPP,uk_student,Y,2022. 9. 28,-,"For initial iOS launch, SEUK confirmed for submission without Student EPP."
6,Pilot,SEUK,UK,Student EPP,uk_student,Y,2022. 9. 28,-,Later EPP enabled in iOS.
7,GRO1,SEBN-NL,Netherlands,B2C,nl,Y,2023. 6. 8 ,2023. 11. 21,
8,GRO1,SEIB-ES,Spain,B2C,es,Y,2023. 6. 16 ,2023. 11. 21,
9,GRO1,SEIB-ES,Spain,Student EPP,educacion,Y,2023. 9. 26 ,-,"For initial iOS launch, SEIB confirmed for submission without Student EPP."
9,GRO1,SEIB-ES,Spain,Student EPP,educacion,Y,2023. 9. 26 ,-,Later EPP enabled in iOS.
10,GRO1,SEG,Germany,B2C,de,Y,2023. 6. 28 ,2023. 11. 21,
11,GRO2,SEAU,Australia,B2C,au,Y,2023. 9. 26 ,2023. 11. 21,
12,GRO2,SEAU,Australia,Student EPP,samsung_education_au,Y,2023. 9. 26 ,2023. 11. 21,
13,GRO2,SEAU,Australia,Governance EPP,government_au,Y,2024. Oct or Nov,2024. Oct or Nov ,Around October or November 2024.
14,GRO2,SAVINA,Vietnam,B2C,vn,Y,2023. 9. 26 ,2023. 11. 21,
15,GRO2,SAVINA,Vietnam,Student EPP,vn_giaoducd,Y,2023. 9. 26 ,2023. 11. 21,
16,GRO2,SEIN,Indonesia,B2C,id,Y,2023. 9. 26 ,2023. 11. 21,
17,GRO2,SEIN,Indonesia,Student EPP,upp,Y,2023. 9. 26 ,2023. 11. 21,
18,GRO2,TSE,Thailand,B2C,th,Y,2023. 9. 26 ,2023. 11. 21,
19,GRO2,TSE,Thailand,Student EPP,th_genzapp,Y,2023. 11. 1 ,2023. 11. 21,"With hotfix deployment for TSE EPP on 10/31, epp open delayed to 11/1"
20,GRO2,SEM,Mexico,B2C,mx,Y,2023. 9. 26,2023. 11. 29 ,
21,GRO2,SEM,Mexico,Student EPP,estudiantes_mx,Y,2023. 9. 26,2023. 11. 29 ,
22,GRO2,SEPR,Peru,B2C,pe,Y,2023. 9. 26,2023. 11. 29 ,
23,GRO2,SEPR,Peru,Student EPP,ventaestudiantes,Y,2023. 9. 26,2023. 11. 29 ,
24,GRO3,SECA,Canada,B2C,ca / ca_fr,Y,2023. 12. 5 ,2023. 12. 25,GRO3 Google Play Store Submission: 12/5
25,GRO3,SECA,Canada,Student EPP,education1,Y,2023. 12. 5 ,2023. 12. 25,"Released around 2AM KST, 12/6"
26,GRO3,SECH,Chile,B2C,cl,Y,2023. 12. 5 ,2023. 12. 25,
27,GRO3,SECH,Chile,Student EPP,estudiantes_chile,Y,2023. 12. 5 ,2023. 12. 25,"SG/MY/TW: 1AM, 12/6"
28,GRO3,SAMCOL,Colombia,B2C,co,Y,2023. 12. 5 ,2023. 12. 25,SA: 8PM 12/5
29,GRO3,SAMCOL,Colombia,Student EPP,estudiantes_co,Y,2023. 12. 5 ,2023. 12. 25,AE: 9PM 12/5
30,GRO3,SAMCOL,Colombia,Corporate EPP,alianzas_co,Y,2025. 5. 6 ,2025. 5. 6 ,EO: 6PM 12/5
31,GRO3,SEI,Italy,B2C,it,Y,2023. 12. 5 ,2023. 12. 25,CA/CO: 12PM 12/5
32,GRO3,SEI,Italy,Student EPP,student,Y,2023. 12. 5 ,2023. 12. 25,CL: 2PM 12/5
33,GRO3,SENA,Sweden,B2C,se,Y,2023. 12. 5 ,2023. 12. 25,GRO3 App Store Submission:
34,GRO3,SEF,France,B2C,fr,Y,2023. 12. 5 ,2023. 12. 25,(Initial) 12/5 → Rejected on 12/6 
35,GRO3,SEF,France,VIP EPP,samsung_plus,Y,2023. 12. 28 ,2023. 12. 28 ,Enabling of additional Corporate EPP (refer to 
