Note,Diemsion Name,Frequently Used,Description,Example,Notes,DataFeed Column,DataFeed Notes,Useful Link
Campaign,Marketing channel,Yes,"The Marketing Channel dimension categorizes inbound traffic based on predefined or customized rules. It helps you understand how visitors arrive at your site or app—whether through paid ads, organic search, email campaigns, direct visits, or other sources.

Each visit is attributed to one marketing channel, determined by a set of processing rules configured in the Marketing Channel Manager within the Admin Console. These rules evaluate incoming data such as referrer, tracking codes, campaign parameters, etc., and assign the visit to the appropriate channel.","Natural Search
Display
Social Media Campaigns
Paid Search
PLA","The Marketing Channel dimension uses Last Touch attribution by default. But when you use it with certain conversion metrics—like Orders, Revenue, Units, or custom events based on eVars—you can change the attribution model (e.g. First Touch, Linear, Time Decay) and also adjust the lookback window.

Expiration: 30 days of inactivity",va_closer_id,Use Ref) Datafeed_va_closer_id sheet to match numeric values.,https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/marketing-channel
Campaign,Marketing channel detail,Yes,"The marketing channel detail uses the dimension that serves as the classification criterion in the marketing channel processing rule as its detail value. For example, if the Tracking Code dimension is used as the classification criterion, the marketing channel detail value will be the tracking code. Typically, paid channels use the tracking code, while organic channels use referrer information.",uk_paid_affiliate_awin-Skimlinks_0_none_Sub Networks_0_none_none,It's recommended to use Marketing Channel Detail dimension when looking into specific campaigns by breaking down Marketing Channel.,va_closer_detail,-,https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/marketing-detail
Campaign,Tracking code,Yes,"The ‘Tracking Code’ dimension lists the names of tracking codes on your site. You can place links with different query string parameter values in different places across the internet. This dimension helps you understand which links were the most successful in driving traffic to your site.

Appending tracking code query strings are common in emails, advertisements, social media posts, and other marketing efforts that your organization uses.","in_ow_display_widgetbanner_cbcc_launch_samsung-card_20230822_none
br_ow_app_galaxyshop_none_none_weblinkapp_bookmark_202008_none","For S.com, Tracking Code is set to be expired 30 days after it is first set, while Marketing Channel expires after 30 days of inactivity. 
Due to this independence, discrepancies may arise when the tracking code expires before the marketing channel. In such cases, breaking down marketing channel by tracking code may lead to misinterpretation.

Expiration: after 30 days ",post_campaign,-,https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/tracking-code
Geo Segmentation,Cities,No,"The ‘Cities’ dimension reports the city where the hit originated from. This dimension is useful to help determine what the most popular cities visitors originate from when visiting your site. You could use this data to focus on local advertising in these cities, such as billboards or commercials.","London (London, United Kingdom)
Birmingham (Birmingham, United Kingdom)
Barnet (Barnet, United Kingdom)
Manchester (Manchester, United Kingdom)
Croydon (Croydon, United Kingdom)",This is based on the IP address,geo_city,-,https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/cities
Geo Segmentation,Countries,No,"The ‘Countries’ dimension reports the country where the hit originated from. This dimension is useful to help determine what the most popular countries visitors originate from when visiting your site. You could use this data to focus on marketing efforts in these countries, or make sure that your site experience is optimal in countries that have different primary languages.","India
Germany
Brazil
South Korea
China",This is based on the IP address,geo_country,-,https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/countries
Geo Segmentation,Regions,No,"The ‘Regions’ dimension reports the geographic region of the visitor. It is a geographic area that is smaller than a country but larger than a city. In some countries, a region is a state, province, or prefecture. In other areas, it is a constituent country, department, or metropolitan region. Using this dimension is valuable if you want insight more granular than Countries but not as granular as Cities.","London (United Kingdom)
Birmingham (United Kingdom)
Croydon (United Kingdom)
Kent (United Kingdom)
Barnet (United Kingdom)",This is based on the IP address,geo_region,-,https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/regions
Mobile,Mobile device,Yes, The 'mobile device' dimension shows the specific model of the mobile device a visitor used to access your website or app.,"Samsung Galaxy S24 Ultra (SM-S928B)
Samsung Galaxy S23 Ultra (SM-S918B)
Samsung Galaxy S23 (SM-S911B)
Samsung Galaxy S24 (SM-S921B)
Apple iPhone","This is based on the User Agent

For samsung, 'Mobile Device' is collected by individual product models (e.g., Galaxy S25, Galaxy S25 Ultra), whereas Apple device are grouped under broader categories such as 'iPhone' and 'iPad'.
As a result, breaking down 'Mobile Device Type' by 'Mobile Device' may lead to the misinterpretation that Apple has the highest share.

To avoid this, it is recommended to analyze the data by breaking down in the order of: Device Type > Manufacturer > Device.",N/A,"To retrieve the necessary information, use the mobile_id column and request the mobile_attribution.tsv file from Adobe. Then, refer to the device column within the mobile_attribution.tsv data.","https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/mobile-dimensions

Datafeed: https://experienceleague.adobe.com/en/docs/analytics/export/analytics-data-feed/data-feed-contents/dynamic-lookups "
Mobile,Mobile device type,Yes," The type of mobile device. Example values include ""Mobile phone"", ""Tablet"", ""Media player"", and ""Gaming console"".","Mobile Phone
Other
Tablet
Television
Set-top Box","This is based on the User Agent
""Other"" considered as Desktop (PC)",N/A,"To retrieve the necessary information, use the mobile_id column and request the mobile_attribution.tsv file from Adobe. Then, refer to the device type column within the mobile_attribution.tsv data.","https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/mobile-dimensions

Datafeed: https://experienceleague.adobe.com/en/docs/analytics/export/analytics-data-feed/data-feed-contents/dynamic-lookups "
Mobile,Mobile manufacturer,Yes," Classifies mobile devices by manufacturer. Example values include ""Apple"", ""Samsung"", ""Huawei"", and ""Motorola"".","Samsung
Apple
Vivo
Redmi
Oppo","This is based on the User Agent

Due to Chrome's User-Agent reduction, the share of manufacturer = Unknown increased between late April and early August 2023.
After switching to Clients Hints as an alternative to the User-Agent, the proportion of Unknown values decreased.",N/A,"To retrieve the necessary information, use the mobile_id column and request the mobile_attribution.tsv file from Adobe. Then, refer to the manufacture column within the mobile_attribution.tsv data.","https://experienceleague.adobe.com/en/docs/analytics/components/dimensions/mobile-dimensions

Datafeed: https://experienceleague.adobe.com/en/docs/analytics/export/analytics-data-feed/data-feed-contents/dynamic-lookups "
App,App Id,Yes,"The App ID refers to the full application name (e.g., Samsung Shop) and its associated version number (e.g., 1.0.46(1826))

These details are captured along with lifecycle events. When a lifecycle event is recorded, the App ID is defined as a dimension","Samsung Shop 2.0.40293 (1600040293)
Samsung Shop 1.0.70 (2146)
Samsung Shop 2.0.40314 (1600040314)","The app goes through regular updates.
Since tagging fixes are not applied to previous versions, related issues may persist for a while even after fix is completed.",post_mobileappid,-,https://developer.adobe.com/client-sdks/home/base/mobile-core/lifecycle/metrics/
